ORDERNUMBER,ORDERDATE,STATUS,DAYS_SINCE_LASTORDER,DEALSIZE,CUSTOMER_ID
10308,2019-10-15,Shipped,295,Medium,1066
10318,2019-11-02,Shipped,278,Medium,1067
10329,2019-11-15,Shipped,266,Medium,1068
10339,2019-11-23,Shipped,259,Small,1069
10361,2019-12-17,Shipped,236,Small,1070
10374,2020-02-02,Shipped,190,Medium,1071
10388,2020-03-03,Shipped,161,Small,1072
10402,2020-04-07,Shipped,127,Medium,1073
10417,2020-05-13,Disputed,92,Medium,1074
10107,2018-02-24,Shipped,902,Medium,1075
10120,2018-04-29,Shipped,839,Large,1076
10134,2018-07-01,Shipped,777,Large,1077
10145,2018-08-25,Shipped,723,Medium,1078
10168,2018-10-28,Shipped,660,Medium,1079
10180,2018-11-11,Shipped,647,Large,1080
10188,2018-11-18,Shipped,641,Large,1081
10210,2019-01-12,Shipped,587,Medium,1082
10223,2019-02-20,Shipped,549,Large,1083
10237,2019-04-05,Shipped,506,Large,1084
10251,2019-05-18,Shipped,464,Large,1085
10263,2019-06-28,Shipped,424,Large,1086
10275,2019-07-23,Shipped,400,Medium,1087
10285,2019-08-27,Shipped,366,Medium,1088
10299,2019-09-30,Shipped,333,Medium,1089
10308,2019-10-15,Shipped,319,Medium,1090
10318,2019-11-02,Shipped,302,Large,1091
10329,2019-11-15,Shipped,290,Medium,1092
10339,2019-11-23,Shipped,283,Small,1093
10362,2020-01-05,Shipped,241,Medium,1094
10374,2020-02-02,Shipped,214,Medium,1095
10388,2020-03-03,Shipped,185,Small,1096
10403,2020-04-08,Shipped,150,Large,1097
10417,2020-05-13,Disputed,116,Large,1098
10105,2018-02-11,Shipped,939,Large,1099
10119,2018-04-28,Shipped,864,Medium,1100
10129,2018-06-12,Shipped,820,Medium,1101
10143,2018-08-10,Shipped,762,Medium,1102
10155,2018-10-06,Shipped,706,Medium,1103
10167,2018-10-23,Cancelled,690,Medium,1104
10178,2018-11-08,Shipped,675,Medium,1105
10186,2018-11-14,Shipped,670,Medium,1106
10197,2018-11-26,Shipped,659,Medium,1107
10222,2019-02-19,Shipped,575,Medium,1108
10248,2019-05-07,Cancelled,499,Small,1109
10261,2019-06-17,Shipped,459,Medium,1110
10273,2019-07-21,Shipped,426,Medium,1111
10283,2019-08-20,Shipped,397,Small,1112
10295,2019-09-10,Shipped,377,Medium,1113
10307,2019-10-14,Shipped,344,Small,1114
10316,2019-11-01,Shipped,327,Medium,1115
10325,2019-11-05,Shipped,324,Medium,1116
10337,2019-11-21,Shipped,309,Small,1117
10350,2019-12-02,Shipped,299,Small,1118
10359,2019-12-15,Shipped,287,Small,1119
10373,2020-01-31,Shipped,241,Medium,1120
10395,2020-03-17,Shipped,196,Medium,1121
10400,2020-04-01,Shipped,182,Large,1122
10414,2020-05-06,On Hold,148,Small,1123
10103,2018-01-29,Shipped,977,Medium,1124
10114,2018-04-01,Shipped,916,Medium,1125
10126,2018-05-28,Shipped,860,Medium,1126
10140,2018-07-24,Shipped,804,Medium,1127
10150,2018-09-19,Shipped,748,Medium,1128
10164,2018-10-21,Resolved,717,Medium,1129
10175,2018-11-06,Shipped,702,Medium,1130
10183,2018-11-13,Shipped,696,Medium,1131
10194,2018-11-25,Shipped,685,Medium,1132
10207,2018-12-09,Shipped,672,Medium,1133
10217,2019-02-04,Shipped,616,Large,1134
10229,2019-03-11,Shipped,582,Medium,1135
10245,2019-05-04,Shipped,529,Medium,1136
10259,2019-06-15,Shipped,488,Medium,1137
10270,2019-07-19,Shipped,455,Medium,1138
10281,2019-08-19,Shipped,425,Large,1139
10291,2019-09-08,Shipped,406,Medium,1140
10305,2019-10-13,Shipped,372,Medium,1141
10313,2019-10-22,Shipped,364,Medium,1142
10322,2019-11-04,Shipped,352,Small,1143
10334,2019-11-19,On Hold,338,Medium,1144
10347,2019-11-29,Shipped,329,Medium,1145
10357,2019-12-10,Shipped,319,Medium,1146
10370,2020-01-20,Shipped,279,Small,1147
10391,2020-03-09,Shipped,231,Small,1148
10411,2020-05-01,Shipped,179,Medium,1149
10425,2020-05-31,In Process,150,Medium,1150
10108,2018-03-03,Shipped,971,Medium,1151
10122,2018-05-08,Shipped,906,Large,1152
10135,2018-07-02,Shipped,852,Large,1153
10147,2018-09-05,Shipped,788,Large,1154
10169,2018-11-04,Shipped,729,Medium,1155
10181,2018-11-12,Shipped,722,Medium,1156
10191,2018-11-20,Shipped,715,Medium,1157
10203,2018-12-02,Shipped,704,Medium,1158
10211,2019-01-15,Shipped,661,Large,1159
10225,2019-02-22,Shipped,624,Medium,1160
10238,2019-04-09,Shipped,579,Medium,1161
10253,2019-06-01,Cancelled,527,Medium,1162
10266,2019-07-06,Shipped,493,Large,1163
10276,2019-08-02,Shipped,467,Large,1164
10287,2019-08-30,Shipped,440,Medium,1165
10300,2018-10-04,Shipped,771,Medium,1166
10310,2019-10-16,Shipped,395,Medium,1167
10320,2019-11-03,Shipped,378,Medium,1168
10329,2019-11-15,Shipped,367,Small,1169
10341,2019-11-24,Shipped,359,Medium,1170
10363,2020-01-06,Shipped,317,Small,1171
10375,2020-02-03,Shipped,290,Medium,1172
10389,2020-03-03,Shipped,262,Small,1173
10419,2020-05-17,Shipped,188,Small,1174
10105,2018-02-11,Shipped,1015,Large,1175
10117,2018-04-16,Shipped,952,Medium,1176
10127,2018-06-03,Shipped,905,Large,1177
10142,2018-08-08,Shipped,840,Large,1178
10153,2018-09-28,Shipped,790,Medium,1179
10165,2018-10-22,Shipped,767,Large,1180
10176,2018-11-06,Shipped,753,Large,1181
10185,2018-11-14,Shipped,746,Medium,1182
10196,2018-11-26,Shipped,735,Large,1183
10208,2019-01-02,Shipped,699,Large,1184
10220,2019-02-12,Shipped,659,Large,1185
10231,2019-03-19,Shipped,625,Large,1186
10247,2019-05-05,Shipped,579,Large,1187
10272,2019-07-20,Shipped,504,Medium,1188
10282,2019-08-20,Shipped,474,Large,1189
10293,2019-09-09,Shipped,455,Large,1190
10306,2019-10-14,Shipped,421,Medium,1191
10314,2019-10-22,Shipped,414,Large,1192
10325,2019-11-05,Shipped,401,Small,1193
10336,2019-11-20,Shipped,387,Small,1194
10348,2019-11-01,Shipped,407,Small,1195
10359,2019-12-15,Shipped,364,Medium,1196
10371,2020-01-23,Shipped,326,Medium,1197
10382,2020-02-17,Shipped,302,Medium,1198
10395,2020-03-17,Shipped,274,Small,1199
10413,2020-05-05,Shipped,226,Large,1200
10103,2018-01-29,Shipped,1054,Medium,1201
10113,2018-03-26,Shipped,999,Medium,1202
10126,2018-05-28,Shipped,937,Small,1203
10140,2018-07-24,Shipped,881,Medium,1204
10150,2018-09-19,Shipped,825,Medium,1205
10164,2018-10-21,Resolved,794,Medium,1206
10174,2018-11-06,Shipped,779,Medium,1207
10183,2018-11-13,Shipped,773,Medium,1208
10194,2018-11-25,Shipped,762,Medium,1209
10206,2018-12-05,Shipped,753,Medium,1210
10216,2019-02-02,Shipped,695,Medium,1211
10229,2019-03-11,Shipped,659,Medium,1212
10245,2019-05-04,Shipped,606,Medium,1213
10258,2019-06-15,Shipped,565,Medium,1214
10270,2019-07-19,Shipped,532,Medium,1215
10281,2019-08-19,Shipped,502,Small,1216
10291,2019-09-08,Shipped,483,Medium,1217
10304,2019-10-11,Shipped,451,Medium,1218
10313,2019-10-22,Shipped,441,Small,1219
10322,2019-11-04,Shipped,429,Medium,1220
10347,2019-11-29,Shipped,405,Medium,1221
10357,2019-12-10,Shipped,395,Medium,1222
10370,2020-01-20,Shipped,355,Large,1223
10391,2020-03-09,Shipped,307,Small,1224
10411,2020-05-01,Shipped,255,Medium,1225
10424,2020-05-31,In Process,226,Large,1226
10107,2018-02-24,Shipped,1054,Medium,1227
10121,2018-05-07,Shipped,983,Large,1228
10134,2018-07-01,Shipped,929,Small,1229
10145,2018-08-25,Shipped,875,Large,1230
10169,2018-11-04,Shipped,805,Medium,1231
10180,2018-11-11,Shipped,799,Medium,1232
10189,2018-11-18,Shipped,793,Medium,1233
10211,2019-01-15,Shipped,736,Medium,1234
10224,2019-02-21,Shipped,700,Medium,1235
10237,2019-04-05,Shipped,658,Medium,1236
10251,2019-05-18,Shipped,616,Large,1237
10263,2019-06-28,Shipped,576,Medium,1238
10276,2019-08-02,Shipped,542,Medium,1239
10285,2019-08-27,Shipped,518,Medium,1240
10299,2019-09-30,Shipped,485,Medium,1241
10309,2019-10-15,Shipped,471,Medium,1242
10319,2019-11-03,Shipped,453,Medium,1243
10329,2019-11-15,Shipped,442,Medium,1244
10341,2019-11-24,Shipped,434,Large,1245
10362,2020-01-05,Shipped,393,Medium,1246
10375,2020-02-03,Shipped,365,Medium,1247
10388,2020-03-03,Shipped,337,Medium,1248
10403,2020-04-08,Shipped,302,Large,1249
10417,2020-05-13,Disputed,268,Medium,1250
10104,2018-01-31,Shipped,1102,Medium,1251
10117,2018-04-16,Shipped,1028,Medium,1252
10127,2018-06-03,Shipped,981,Large,1253
10142,2018-08-08,Shipped,916,Medium,1254
10153,2018-09-28,Shipped,866,Medium,1255
10165,2018-10-22,Shipped,843,Medium,1256
10176,2018-11-06,Shipped,829,Large,1257
10185,2018-11-14,Shipped,822,Medium,1258
10196,2018-11-26,Shipped,811,Medium,1259
10208,2019-01-02,Shipped,775,Medium,1260
10220,2019-02-12,Shipped,735,Medium,1261
10230,2019-03-15,Shipped,705,Large,1262
10247,2019-05-05,Shipped,655,Medium,1263
10272,2019-07-20,Shipped,580,Medium,1264
10282,2019-08-20,Shipped,550,Medium,1265
10293,2019-09-09,Shipped,531,Medium,1266
10306,2019-10-14,Shipped,497,Medium,1267
10314,2019-10-22,Shipped,490,Medium,1268
10324,2019-11-05,Shipped,477,Small,1269
10336,2019-11-20,Shipped,463,Medium,1270
10348,2019-11-01,Shipped,483,Medium,1271
10358,2019-12-10,Shipped,445,Small,1272
10372,2020-01-26,Shipped,399,Medium,1273
10382,2020-02-17,Shipped,378,Medium,1274
10413,2020-05-05,Shipped,301,Large,1275
10108,2018-03-03,Shipped,1096,Medium,1276
10122,2018-05-08,Shipped,1031,Medium,1277
10135,2018-07-02,Shipped,977,Medium,1278
10147,2018-09-05,Shipped,913,Medium,1279
10170,2018-11-04,Shipped,854,Medium,1280
10181,2018-11-12,Shipped,847,Small,1281
10191,2018-11-20,Shipped,840,Medium,1282
10203,2018-12-02,Shipped,829,Small,1283
10212,2019-01-16,Shipped,785,Medium,1284
10225,2019-02-22,Shipped,749,Small,1285
10238,2019-04-09,Shipped,704,Medium,1286
10253,2019-06-01,Cancelled,652,Small,1287
10266,2019-07-06,Shipped,618,Small,1288
10276,2019-08-02,Shipped,592,Medium,1289
10287,2019-08-30,Shipped,565,Medium,1290
10300,2018-10-04,Shipped,896,Medium,1291
10310,2019-10-16,Shipped,520,Medium,1292
10320,2019-11-03,Shipped,503,Medium,1293
10329,2019-11-15,Shipped,492,Medium,1294
10341,2019-11-24,Shipped,484,Medium,1295
10363,2020-01-06,Shipped,442,Medium,1296
10376,2020-02-08,Shipped,410,Medium,1297
10389,2020-03-03,Shipped,387,Small,1298
10419,2020-05-17,Shipped,313,Small,1299
10105,2018-02-11,Shipped,1140,Medium,1300
10117,2018-04-16,Shipped,1077,Medium,1301
10127,2018-06-03,Shipped,1030,Large,1302
10142,2018-08-08,Shipped,965,Large,1303
10153,2018-09-28,Shipped,915,Large,1304
10165,2018-10-22,Shipped,892,Medium,1305
10176,2018-11-06,Shipped,878,Large,1306
10185,2018-11-14,Shipped,871,Large,1307
10196,2018-11-26,Shipped,860,Large,1308
10208,2019-01-02,Shipped,824,Medium,1309
10220,2019-02-12,Shipped,784,Medium,1310
10231,2019-03-19,Shipped,750,Medium,1311
10247,2019-05-05,Shipped,704,Medium,1312
10272,2019-07-20,Shipped,629,Large,1313
10282,2019-08-20,Shipped,599,Medium,1314
10293,2019-09-09,Shipped,580,Large,1315
10306,2019-10-14,Shipped,546,Medium,1316
10314,2019-10-22,Shipped,539,Medium,1317
10325,2019-11-05,Shipped,526,Small,1318
10336,2019-11-20,Shipped,512,Medium,1319
10349,2019-12-01,Shipped,502,Medium,1320
10359,2019-12-15,Shipped,489,Medium,1321
10372,2020-01-26,Shipped,448,Medium,1322
10382,2020-02-17,Shipped,427,Medium,1323
10396,2020-03-23,Shipped,393,Medium,1324
10413,2020-05-05,Shipped,351,Medium,1325
10108,2018-03-03,Shipped,1146,Medium,1326
10122,2018-05-08,Shipped,1081,Small,1327
10135,2018-07-02,Shipped,1027,Small,1328
10147,2018-09-05,Shipped,963,Small,1329
10169,2018-11-04,Shipped,904,Small,1330
10181,2018-11-12,Shipped,897,Small,1331
10191,2018-11-20,Shipped,890,Small,1332
10203,2018-12-02,Shipped,879,Medium,1333
10211,2019-01-15,Shipped,836,Small,1334
10225,2019-02-22,Shipped,799,Small,1335
10238,2019-04-09,Shipped,754,Small,1336
10253,2019-06-01,Cancelled,702,Small,1337
10266,2019-07-06,Shipped,668,Small,1338
10276,2019-08-02,Shipped,642,Medium,1339
10287,2019-08-30,Shipped,615,Small,1340
10300,2018-10-04,Shipped,946,Small,1341
10310,2019-10-16,Shipped,570,Medium,1342
10320,2019-11-03,Shipped,553,Small,1343
10329,2019-11-15,Shipped,542,Medium,1344
10341,2019-11-24,Shipped,534,Medium,1345
10363,2020-01-06,Shipped,492,Small,1346
10377,2020-02-09,Shipped,459,Small,1347
10389,2020-03-03,Shipped,437,Small,1348
10419,2020-05-17,Shipped,363,Medium,1349
10104,2018-01-31,Shipped,1201,Medium,1350
10115,2018-04-04,Shipped,1139,Medium,1351
10127,2018-06-03,Shipped,1080,Small,1352
10141,2018-08-01,Shipped,1022,Small,1353
10151,2018-09-21,Shipped,972,Medium,1354
10165,2018-10-22,Shipped,942,Medium,1355
10175,2018-11-06,Shipped,928,Medium,1356
10184,2018-11-14,Shipped,921,Medium,1357
10195,2018-11-25,Shipped,911,Medium,1358
10207,2018-12-09,Shipped,898,Medium,1359
10219,2019-02-10,Shipped,836,Medium,1360
10229,2019-03-11,Shipped,808,Medium,1361
10246,2019-05-05,Shipped,754,Medium,1362
10259,2019-06-15,Shipped,714,Medium,1363
10271,2019-07-20,Shipped,680,Medium,1364
10281,2019-08-19,Shipped,651,Medium,1365
10292,2019-09-08,Shipped,632,Small,1366
10305,2019-10-13,Shipped,598,Medium,1367
10314,2019-10-22,Shipped,590,Medium,1368
10324,2019-11-05,Shipped,577,Small,1369
10336,2019-11-20,Shipped,563,Medium,1370
10349,2019-12-01,Shipped,553,Medium,1371
10358,2019-12-10,Shipped,545,Small,1372
10371,2020-01-23,Shipped,502,Small,1373
10382,2020-02-17,Shipped,478,Small,1374
10412,2020-05-03,Shipped,403,Medium,1375
10425,2020-05-31,In Process,376,Medium,1376
10108,2018-03-03,Shipped,1197,Medium,1377
10122,2018-05-08,Shipped,1132,Small,1378
10135,2018-07-02,Shipped,1078,Small,1379
10147,2018-09-05,Shipped,1014,Medium,1380
10170,2018-11-04,Shipped,955,Medium,1381
10181,2018-11-12,Shipped,948,Medium,1382
10192,2018-11-20,Shipped,941,Medium,1383
10203,2018-12-02,Shipped,930,Medium,1384
10212,2019-01-16,Shipped,886,Medium,1385
10225,2019-02-22,Shipped,850,Small,1386
10239,2019-04-12,Shipped,802,Small,1387
10253,2019-06-01,Cancelled,753,Medium,1388
10266,2019-07-06,Shipped,719,Medium,1389
10277,2019-08-04,Shipped,691,Medium,1390
10287,2019-08-30,Shipped,666,Small,1391
10300,2018-10-04,Shipped,997,Small,1392
10310,2019-10-16,Shipped,621,Small,1393
10321,2019-11-04,Shipped,603,Small,1394
10329,2019-11-15,Shipped,593,Small,1395
10341,2019-11-24,Shipped,585,Medium,1396
10363,2020-01-06,Shipped,543,Medium,1397
10377,2020-02-09,Shipped,510,Medium,1398
10389,2020-03-03,Shipped,488,Medium,1399
10405,2020-04-14,Shipped,447,Large,1400
10419,2020-05-17,Shipped,415,Medium,1401
10103,2018-01-29,Shipped,1255,Medium,1402
10113,2018-03-26,Shipped,1200,Medium,1403
10126,2018-05-28,Shipped,1138,Medium,1404
10140,2018-07-24,Shipped,1082,Medium,1405
10150,2018-09-19,Shipped,1026,Medium,1406
10164,2018-10-21,Resolved,995,Medium,1407
10174,2018-11-06,Shipped,980,Medium,1408
10183,2018-11-13,Shipped,974,Small,1409
10194,2018-11-25,Shipped,963,Small,1410
10206,2018-12-05,Shipped,954,Medium,1411
10215,2019-01-29,Shipped,900,Medium,1412
10228,2019-03-10,Shipped,861,Medium,1413
10245,2019-05-04,Shipped,807,Medium,1414
10258,2019-06-15,Shipped,766,Medium,1415
10270,2019-07-19,Shipped,733,Medium,1416
10280,2019-08-17,Shipped,705,Small,1417
10291,2019-09-08,Shipped,684,Medium,1418
10304,2019-10-11,Shipped,652,Medium,1419
10312,2019-10-21,Shipped,643,Medium,1420
10322,2019-11-04,Shipped,630,Small,1421
10347,2019-11-29,Shipped,606,Small,1422
10357,2019-12-10,Shipped,596,Medium,1423
10370,2020-01-20,Shipped,556,Medium,1424
10391,2020-03-09,Shipped,508,Small,1425
10411,2020-05-01,Shipped,456,Medium,1426
10424,2020-05-31,In Process,427,Large,1427
10109,2018-03-10,Shipped,1241,Medium,1428
10122,2018-05-08,Shipped,1183,Medium,1429
10136,2018-07-04,Shipped,1127,Medium,1430
10148,2018-09-11,Shipped,1059,Small,1431
10161,2018-10-17,Shipped,1024,Medium,1432
10171,2018-11-05,Shipped,1006,Medium,1433
10181,2018-11-12,Shipped,1000,Medium,1434
10192,2018-11-20,Shipped,993,Medium,1435
10204,2018-12-02,Shipped,982,Medium,1436
10212,2019-01-16,Shipped,938,Medium,1437
10225,2019-02-22,Shipped,902,Medium,1438
10240,2019-04-13,Shipped,853,Medium,1439
10253,2019-06-01,Cancelled,805,Medium,1440
10266,2019-07-06,Shipped,771,Small,1441
10278,2019-08-06,Shipped,741,Medium,1442
10287,2019-08-30,Shipped,718,Medium,1443
10301,2018-10-05,Shipped,1048,Medium,1444
10310,2019-10-16,Shipped,673,Medium,1445
10321,2019-11-04,Shipped,655,Medium,1446
10331,2019-11-17,Shipped,643,Medium,1447
10342,2019-11-24,Shipped,637,Medium,1448
10356,2019-12-09,Shipped,623,Medium,1449
10365,2020-01-07,Shipped,595,Small,1450
10377,2020-02-09,Shipped,563,Medium,1451
10390,2020-03-04,Shipped,540,Medium,1452
10406,2020-04-15,Disputed,499,Large,1453
10419,2020-05-17,Shipped,468,Medium,1454
10102,2018-01-10,Shipped,1327,Medium,1455
10125,2018-05-21,Shipped,1197,Medium,1456
10139,2018-07-16,Shipped,1142,Medium,1457
10149,2018-09-12,Shipped,1085,Medium,1458
10173,2018-11-05,Shipped,1032,Medium,1459
10182,2018-11-12,Shipped,1026,Small,1460
10193,2018-11-21,Shipped,1018,Medium,1461
10205,2018-12-03,Shipped,1007,Medium,1462
10215,2019-01-29,Shipped,951,Small,1463
10227,2019-03-02,Shipped,920,Small,1464
10244,2019-04-29,Shipped,863,Medium,1465
10256,2019-06-08,Shipped,824,Medium,1466
10280,2019-08-17,Shipped,755,Medium,1467
10289,2019-09-03,Shipped,739,Medium,1468
10304,2019-10-11,Shipped,702,Medium,1469
10312,2019-10-21,Shipped,693,Medium,1470
10322,2019-11-04,Shipped,680,Medium,1471
10332,2019-11-17,Shipped,668,Medium,1472
10346,2019-11-29,Shipped,657,Small,1473
10356,2019-12-09,Shipped,648,Small,1474
10369,2020-01-20,Shipped,607,Large,1475
10380,2020-02-16,Shipped,581,Small,1476
10391,2020-03-09,Shipped,560,Medium,1477
10422,2020-05-30,In Process,479,Medium,1478
10102,2018-01-10,Shipped,1351,Small,1479
10126,2018-05-28,Shipped,1214,Small,1480
10139,2018-07-16,Shipped,1166,Small,1481
10149,2018-09-12,Shipped,1109,Small,1482
10173,2018-11-05,Shipped,1056,Small,1483
10182,2018-11-12,Shipped,1050,Small,1484
10193,2018-11-21,Shipped,1042,Small,1485
10205,2018-12-03,Shipped,1031,Medium,1486
10215,2019-01-29,Shipped,975,Small,1487
10227,2019-03-02,Shipped,944,Small,1488
10244,2019-04-29,Shipped,887,Small,1489
10256,2019-06-08,Shipped,848,Small,1490
10280,2019-08-17,Shipped,779,Small,1491
10289,2019-09-03,Shipped,763,Small,1492
10304,2019-10-11,Shipped,726,Small,1493
10312,2019-10-21,Shipped,717,Small,1494
10322,2019-11-04,Shipped,704,Small,1495
10332,2019-11-17,Shipped,692,Small,1496
10347,2019-11-29,Shipped,681,Small,1497
10356,2019-12-09,Shipped,672,Small,1498
10369,2020-01-20,Shipped,631,Medium,1499
10391,2020-03-09,Shipped,583,Medium,1500
10422,2020-05-30,In Process,502,Small,1501
10110,2018-03-18,Shipped,1307,Medium,1502
10123,2018-05-20,Shipped,1245,Medium,1503
10137,2018-07-10,Shipped,1195,Medium,1504
10148,2018-09-11,Shipped,1133,Medium,1505
10161,2018-10-17,Shipped,1098,Medium,1506
10172,2018-11-05,Shipped,1080,Medium,1507
10181,2018-11-12,Shipped,1074,Medium,1508
10192,2018-11-20,Shipped,1067,Medium,1509
10204,2018-12-02,Shipped,1056,Medium,1510
10212,2019-01-16,Shipped,1012,Medium,1511
10226,2019-02-26,Shipped,972,Medium,1512
10241,2019-04-13,Shipped,927,Small,1513
10253,2019-06-01,Cancelled,879,Medium,1514
10266,2019-07-06,Shipped,845,Medium,1515
10278,2019-08-06,Shipped,815,Small,1516
10288,2019-09-01,Shipped,790,Small,1517
10301,2018-10-05,Shipped,1122,Medium,1518
10311,2019-10-16,Shipped,747,Small,1519
10321,2019-11-04,Shipped,729,Medium,1520
10331,2019-11-17,Shipped,717,Medium,1521
10343,2019-11-24,Shipped,711,Medium,1522
10367,2020-01-12,Resolved,663,Small,1523
10378,2020-02-10,Shipped,635,Small,1524
10407,2020-04-22,On Hold,564,Large,1525
10419,2020-05-17,Shipped,540,Medium,1526
10106,2018-02-17,Shipped,1361,Medium,1527
10119,2018-04-28,Shipped,1292,Medium,1528
10131,2018-06-16,Shipped,1244,Small,1529
10143,2018-08-10,Shipped,1190,Medium,1530
10155,2018-10-06,Shipped,1134,Medium,1531
10167,2018-10-23,Cancelled,1118,Medium,1532
10178,2018-11-08,Shipped,1103,Medium,1533
10186,2018-11-14,Shipped,1098,Medium,1534
10198,2018-11-27,Shipped,1086,Large,1535
10210,2019-01-12,Shipped,1041,Medium,1536
10222,2019-02-19,Shipped,1004,Medium,1537
10250,2019-05-11,Shipped,924,Large,1538
10262,2019-06-24,Cancelled,881,Medium,1539
10274,2019-07-21,Shipped,855,Medium,1540
10284,2019-08-21,Shipped,825,Medium,1541
10296,2019-09-15,Shipped,801,Medium,1542
10307,2019-10-14,Shipped,773,Large,1543
10316,2019-11-01,Shipped,756,Medium,1544
10327,2019-11-10,Resolved,748,Small,1545
10338,2019-11-22,Shipped,737,Medium,1546
10351,2019-12-03,Shipped,727,Medium,1547
10373,2020-01-31,Shipped,669,Small,1548
10386,2020-03-01,Resolved,640,Small,1549
10398,2020-03-30,Shipped,612,Medium,1550
10400,2020-04-01,Shipped,611,Medium,1551
10416,2020-05-10,Shipped,573,Medium,1552
10100,2018-01-06,Shipped,1429,Medium,1553
10110,2018-03-18,Shipped,1359,Medium,1554
10124,2018-05-21,Shipped,1296,Small,1555
10149,2018-09-12,Shipped,1183,Medium,1556
10173,2018-11-05,Shipped,1130,Medium,1557
10182,2018-11-12,Shipped,1124,Large,1558
10193,2018-11-21,Shipped,1116,Medium,1559
10204,2018-12-02,Shipped,1106,Medium,1560
10214,2019-01-26,Shipped,1052,Medium,1561
10227,2019-03-02,Shipped,1018,Medium,1562
10241,2019-04-13,Shipped,977,Large,1563
10280,2019-08-17,Shipped,852,Medium,1564
10288,2019-09-01,Shipped,838,Medium,1565
10302,2018-10-06,Shipped,1169,Large,1566
10312,2019-10-21,Shipped,790,Large,1567
10331,2019-11-17,Shipped,764,Medium,1568
10344,2019-11-25,Shipped,757,Large,1569
10367,2020-01-12,Resolved,710,Medium,1570
10379,2020-02-10,Shipped,682,Medium,1571
10407,2020-04-22,On Hold,611,Large,1572
10420,2020-05-29,In Process,575,Medium,1573
10108,2018-03-03,Shipped,1394,Medium,1574
10122,2018-05-08,Shipped,1329,Medium,1575
10135,2018-07-02,Shipped,1275,Medium,1576
10147,2018-09-05,Shipped,1211,Small,1577
10170,2018-11-04,Shipped,1152,Small,1578
10181,2018-11-12,Shipped,1145,Small,1579
10192,2018-11-20,Shipped,1138,Medium,1580
10203,2018-12-02,Shipped,1127,Medium,1581
10212,2019-01-16,Shipped,1083,Small,1582
10225,2019-02-22,Shipped,1047,Medium,1583
